date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,2020-12-29 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,2020-12-31 08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,2021-01-01 12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,2021-01-02 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,2021-01-03 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,2021-01-04 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,2021-01-05 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,2021-01-06 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,2021-01-07 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,2021-01-08 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,2021-01-09 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,2021-01-11 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,2021-01-12 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,2021-01-13 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,2021-01-14 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,2021-01-15 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,2021-01-16 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,2021-01-18 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,2021-01-19 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,2021-01-20 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,2021-01-21 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-21,2021-01-22 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,2021-01-23 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-24,2021-01-25 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,2021-01-26 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-26,2021-01-27 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,2021-01-28 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-28,2021-01-29 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,2021-01-30 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31,2021-02-01 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,2021-02-02 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,2021-02-03 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03,2021-02-04 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-04,2021-02-05 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-05,2021-02-06 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-07,2021-02-08 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-08,2021-02-09 10:00,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15
2021-02-09,2021-02-10 10:00,0,14,0,0,19,10,0,0,0,0,0,0,0,0,0,0,43
2021-02-10,2021-02-11 10:00,0,1176,207,0,62,747,187,0,97,3032,0,120,0,369,0,0,5997
2021-02-11,2021-02-12 10:00,0,2506,369,0,173,1548,287,653,1114,9284,0,270,0,1048,579,0,17831
2021-02-12,2021-02-13 08:00,35,3893,599,0,234,2547,287,1264,2722,15033,0,504,0,3225,942,0,31285
2021-02-14,2021-02-15 08:00,190,7984,990,0,782,3123,772,1296,3414,22310,1644,605,544,3239,942,2331,50166
2021-02-15,2021-02-16 08:00,211,9932,1134,0,918,3517,851,1529,5574,28508,3174,892,784,3447,2067,2331,64869
2021-02-16,2021-02-17 10:00,309,12092,6267,0,1062,4236,1933,1848,8806,34124,5210,1507,979,3738,3270,2152,87533
2021-02-17,2021-02-18 08:00,1086,14658,6518,891,1217,4759,2661,2011,12792,39294,6535,2120,1281,4391,4220,2152,106586
2021-02-18,2021-02-19 08:00,1994,18297,6738,1862,1354,5532,4556,2177,14871,46782,7808,2656,1632,5340,5269,2153,129021
2021-02-19,2021-02-20 08:00,3817,21851,7219,2666,1596,6671,5179,2177,17969,52374,9482,3331,2061,5783,6560,2153,150889
2021-02-21,2021-02-22 08:00,7523,29025,8667,2666,2008,9464,5742,2177,19512,63838,10625,3732,3220,7312,8386,3123,187020
2021-02-22,2021-02-23 08:00,9251,34540,11493,3876,2219,10295,6199,2369,21110,69451,12749,4220,3542,8231,9218,3123,211886
2021-02-23,2021-02-24 08:00,12112,41467,11918,5757,2402,11378,6780,2599,22885,74830,15089,5128,3584,8817,10678,3132,238556
2021-02-24,2021-02-25 08:00,16871,48830,12979,8411,2680,13126,7371,2725,25545,80883,17205,5777,4007,9550,11728,3298,270986
2021-02-25,2021-02-26 10:00,23265,56785,13236,11065,2928,14593,8514,3096,28836,91763,21737,6847,4771,10544,13292,3296,314568
2021-02-26,2021-02-27 08:00,30822,68412,14329,14585,3819,16547,10323,4038,33472,97360,25842,7750,5856,11694,15297,3499,363645
2021-02-28,2021-03-01 08:00,45933,84462,23869,14585,4876,18646,22469,4038,36746,111067,27989,8516,7977,13730,16167,13539,454609
2021-03-01,2021-03-02 08:00,57952,94680,24939,17603,5767,19400,24040,4596,40921,122910,34167,9638,9579,14789,19656,13789,514426
2021-03-02,2021-03-03 10:00,71305,103640,25998,20883,6899,20416,26875,5261,45433,132711,39260,10706,10791,16937,23054,14249,574418
2021-03-03,2021-03-04 08:00,86023,104941,27103,24507,8084,22333,29932,5777,49777,143407,45138,11993,12243,18434,26157,14610,631184
2021-03-04,2021-03-05 08:00,100005,124001,28182,28424,9107,23916,34421,6173,55792,165385,53983,13441,14420,20037,28607,14949,720843
2021-03-05,2021-03-06 08:00,112992,138176,29438,33304,10172,26264,40288,7644,65068,180253,64654,15303,15921,21726,32130,15346,808679
2021-03-07,2021-03-08 08:00,141433,166736,32531,33304,11748,29014,58169,7863,72615,195999,69091,16359,20294,24223,37115,25595,942089
2021-03-08,2021-03-09 08:00,157187,182416,34266,36408,12829,31286,65428,9138,79870,212704,74851,17766,22202,27474,37237,25866,1026928
2021-03-09,2021-03-10 08:00,175034,197934,35696,39857,13866,34058,72181,10714,88379,237243,80760,19016,24089,29417,42741,26504,1127489
2021-03-10,2021-03-11 08:00,191782,211050,37688,44550,15010,36899,80487,12604,98362,259901,89207,20380,25926,31866,46345,26734,1228791
2021-03-11,2021-03-12 08:00,206876,226033,40195,51138,16191,39088,89242,14478,105979,291325,100367,21686,28498,34242,50645,30313,1346296
2021-03-12,2021-03-13 08:00,219715,242998,43070,56539,17408,41372,98312,18037,119951,322510,110942,23163,31909,38298,54720,32456,1471400
