date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,964,1051,228,20,87,222,1694,240,116,1370,620,4,69,644,239,50,7618
2020-12-28,2020-12-29 08:00,1877,1830,517,47,133,471,2425,1862,370,1788,715,51,551,1678,528,121,14964
2020-12-30,2020-12-31 08:30,4196,13981,2733,2812,408,1042,8681,6349,1512,6610,1941,161,2460,5068,3361,297,61612
2020-12-31,2021-01-01 12:30,5423,18450,2952,2995,408,1420,12345,6583,1981,8963,2329,248,2754,5582,4523,297,77253
2021-01-01,2021-01-02 08:00,6185,19500,3319,2995,408,1703,14480,6583,2105,11846,3166,335,3320,5760,4690,297,86692
2021-01-02,2021-01-03 08:00,7428,25636,3647,2995,465,2010,17635,6583,2641,18806,3516,495,3535,6194,5136,297,107019
2021-01-03,2021-01-04 12:00,8739,31755,6132,3085,506,2189,19405,6583,2822,21354,4213,495,3765,6446,5317,297,123103
2021-01-04,2021-01-05 12:00,9828,38306,6783,3087,811,2698,22051,7738,4198,25744,5435,584,6354,7523,6611,1976,149727
2021-01-05,2021-01-06 11:00,11336,40959,7648,5097,1062,3495,23963,10024,7376,28846,7191,672,8945,8196,8459,2856,176125
2021-01-06,2021-01-07 11:00,12661,41737,8402,7724,1397,3561,25931,11746,10900,33961,9796,813,11072,8461,9282,4096,201540
2021-01-07,2021-01-08 11:00,14560,44516,9109,10391,1764,4313,27009,12515,15989,39465,11833,966,13343,9554,10747,6399,232473
2021-01-08,2021-01-09 11:00,16514,47801,9676,12192,2103,5188,28861,13122,20483,43671,14104,1104,15283,10228,12623,8583,261536
2021-01-10,2021-01-11 11:00,19392,59598,10308,12236,2607,6397,31645,13122,22613,52000,16859,1229,16051,10787,13050,8861,296755
2021-01-11,2021-01-12 11:00,20848,68550,10632,12430,2993,6649,33237,13895,27608,57067,19277,1435,19173,11977,15015,9827,330613
2021-01-12,2021-01-13 11:00,22519,76344,11010,15352,3346,6866,34864,14928,32710,59599,22730,1791,23650,13373,17149,9798,366029
2021-01-13,2021-01-14 11:00,24154,84910,11540,21079,4066,8161,35893,16644,36884,66156,25773,2024,27920,14226,18157,10998,408585
2021-01-14,2021-01-15 11:00,26901,93673,17386,25370,4786,8250,37398,17272,40754,84253,30548,2256,31443,15590,19722,13211,468813
2021-01-15,2021-01-16 11:00,29956,102769,17738,28119,5427,9606,39725,18238,45644,94237,33721,2421,34444,16378,21709,14578,514710
2021-01-17,2021-01-18 11:00,35662,110513,18625,28252,5751,11180,42065,18238,45166,104434,38025,2551,38885,16557,22557,15020,553481
2021-01-18,2021-01-19 14:00,37050,114870,19777,29008,6522,12216,43546,18986,50517,109649,40739,3128,41668,18056,23248,16059,585039
2021-01-19,2021-01-20 10:00,42585,119692,20046,31362,6253,13718,46614,19764,54912,113045,43484,3280,45683,20533,23853,16979,621803
2021-01-20,2021-01-21 10:00,46763,125648,20431,33283,6632,15377,52418,21873,60234,125035,45158,3501,49483,23052,24246,18895,672029
2021-01-21,2021-01-22 10:00,50710,135322,23118,35237,7033,16812,53636,22893,22363,132370,48187,3773,51837,24166,24722,21107,673286
2021-01-22,2021-01-23 10:00,56023,145490,25701,36515,7265,18148,56958,23872,25547,146980,48792,4002,51837,25615,25145,22293,720183
2021-01-24,2021-01-25 10:00,64917,160990,26616,36515,7684,19387,63271,23944,73098,169030,50119,4239,55945,26647,25809,22985,831196
2021-01-25,2021-01-26 10:00,69676,212717,27605,37732,7874,20601,66857,25666,77047,173455,53233,4767,58642,28739,26458,23847,914916
2021-01-26,2021-01-27 10:00,75421,198662,28471,40367,8276,21699,69669,29169,82832,179357,54779,5309,63026,30178,27179,24935,939329
2021-01-27,2021-01-28 10:00,81114,206898,29631,42815,8588,23482,73875,31194,89094,196675,56800,5890,64405,31367,27607,27455,996890
2021-01-28,2021-01-29 10:00,84419,201431,30606,47256,9105,25874,76154,25149,94897,215910,60628,6053,67050,32488,28309,15157,1020486
2021-01-29,2021-01-30 10:00,90513,208790,31457,50966,9453,27950,78585,25755,101279,222762,63522,6521,68686,34582,29076,16874,1066771
2021-01-31,2021-02-01 10:00,98188,223392,32765,51076,10196,29282,83364,25764,105606,245074,65943,6858,71498,35323,30014,18592,1132935
2021-02-01,2021-02-02 10:00,102278,235704,33352,52080,10630,30678,86456,34890,112025,259638,68405,7322,74677,37106,30761,36105,1212107
2021-02-02,2021-02-03 10:00,106931,246930,34001,53286,11028,32633,88957,35938,118071,281968,70865,7789,78512,38644,31847,37965,1275365
2021-02-03,2021-02-04 10:00,112098,260042,34937,55318,11516,34906,91326,36783,124652,302223,73081,8213,81920,40642,33996,39594,1341247
2021-02-04,2021-02-05 10:00,117138,271852,35628,56945,11941,36581,94116,37983,131550,330559,75704,8456,84991,41988,35420,41657,1412509
2021-02-05,2021-02-06 10:00,123582,281607,36491,58592,12371,38592,97725,38967,138501,348722,78394,8617,87979,43579,38207,43290,1475216
2021-02-07,2021-02-08 11:00,133378,294739,45063,58981,12850,40259,100851,38967,141472,404675,81196,8812,91933,43794,40003,44546,1581519
2021-02-08,2021-02-09 10:00,138327,302156,45859,59783,13056,41159,102852,41039,144906,411390,83606,9462,93730,44716,41423,45138,1618602
2021-02-09,2021-02-10 10:00,143195,310174,46535,60869,13406,42844,106161,42469,147912,411851,86984,9678,96104,45527,43415,46765,1653889
2021-02-10,2021-02-11 10:00,148413,319744,47163,64760,13967,45544,109234,44056,150839,441602,89972,10224,97930,46553,44894,48401,1723296
2021-02-11,2021-02-12 10:00,153265,329155,48055,70103,14683,47866,112797,45511,157872,463641,93921,10781,99521,48512,47337,49997,1793017
2021-02-12,2021-02-13 08:00,160082,340890,48627,75639,15560,49961,115680,47010,166773,478734,97832,11338,101358,52110,49918,51478,1862990
2021-02-14,2021-02-15 08:00,170033,355711,52782,74938,16481,52009,119363,47049,172242,497666,103144,11772,104782,53185,51734,54270,1937161
