date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,2020-12-29 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,2020-12-31 08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,2021-01-01 12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,2021-01-02 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,2021-01-03 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,2021-01-04 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,2021-01-05 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,2021-01-06 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,2021-01-07 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,2021-01-08 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,2021-01-09 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,2021-01-11 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,2021-01-12 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,2021-01-13 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,2021-01-14 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,2021-01-15 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,2021-01-16 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,2021-01-18 11:00,0,0,0.0526776056951768,0,0,0.0230071354600588,0.027607791249475197,0,0.004190848487941865,0.005393592690478376,0.008549298798725813,0,0.0038065104098236454,0.030937013334353936,0,0,0.007913021833940265
2021-01-18,2021-01-19 14:00,0.04015172794767465,0.0031924449228963596,0.11276768358336348,0,0.05725174030610597,0.03237239295321215,0.047709316675360366,0.07194656180004452,0.010470866222111467,0.025591705813395847,0.02921417532364592,0,0.009037392456871624,0.133361764403025,0.02204029033949968,0.0009843543900799577,0.02974868153677497
2021-01-19,2021-01-20 10:00,0.07007859360667738,0.012640253286599191,0.17939817811244121,0.04453004152039757,0.1048147245604094,0.055541931722400774,0.101986615946362,0.023567629146254862,0.01945304298134209,0.029993501500873033,0.047045569960988326,0,0.027971711979284726,0.25660862901190185,0.03677973450404009,0.013640339405393699,0.051306585876649616
2021-01-20,2021-01-21 10:00,0.10441971699382922,0.03106347959581971,0.2554032698267961,0.04453004152039757,0.18188437497247512,0.08991729882154745,0.19640335364690018,0.18760827739907893,0.03545332720843954,0.0894456027481915,0.05769555360740106,0,0.06264779390619432,0.3529735527264211,0.04015465396227598,0.02151517452603336,0.0933089682962213
2021-01-21,2021-01-22 10:00,0.1400761090101847,0.1272711216994291,0.34048318963038743,0.04453004152039757,0.2586604267163044,0.11725518919173497,0.24735690385618503,0.22212024092459726,0.04481080383226198,0.12189630918346635,0.07884896149224835,0.27196629401339767,0.08209783419380934,0.41042800606164986,0.04569916450080636,0.05634257032743377,0.13848690012521958
2021-01-22,2021-01-23 10:00,0.17075069587620043,0.3566623849300752,0.4286425556023983,0.04453004152039757,0.2599816207233684,0.15406660592782906,0.28713057085787713,0.2254781617000531,0.05077807167927174,0.1455489961370621,0.09966039742514661,0.32840639303182634,0.09319810971148862,0.4609569424207051,0.052517879324589074,0.07359220916312065,0.19650169885881383
2021-01-24,2021-01-25 10:00,0.23557722365530448,0.5136712453742882,0.4948370223554166,0.04453004152039757,0.2736339587963629,0.2027875986667771,0.42055762649330164,0.23269147299547677,0.06779166554076707,0.26256432681137654,0.10229846676875344,0.40967202932047947,0.112942847579219,0.5231499073712105,0.05272450704652189,0.08118580017230889,0.27506558483477844
2021-01-25,2021-01-26 10:00,0.2743235960813643,0.7133704850619101,0.5394481141934944,0.045402402084465915,0.3115081869988638,0.23748777238418342,0.47144756428035267,0.3612252182337585,0.11097616995979788,0.30078194278657405,0.11128744379141373,0.47279982409333593,0.1562633918561797,0.5926328901913721,0.09625408046703375,0.09571674593063208,0.3405978144308244
2021-01-26,2021-01-27 10:00,0.34874437790226187,0.6579179453272093,0.6115562076593184,0.10924333427310358,0.40413856682746085,0.2755984155933161,0.5180754697777382,0.6144373181903543,0.193992500007506,0.343406926342524,0.12308547613365534,0.5492016816514961,0.22117053387659194,0.6711372701252334,0.15180249971330403,0.11118517206045998,0.3831749460430147
2021-01-27,2021-01-28 10:00,0.39326532013188,0.6884328425019107,0.6733903966517427,0.19739140399691818,0.47019826718066005,0.3395853193904679,0.5654349181308126,0.7908525263379138,0.2960865731719644,0.40170564568185796,0.15080963080952334,0.6371550136945769,0.2583024289711297,0.7169276948690121,0.19319692000717686,0.21313616246159847,0.4401773204665987
2021-01-28,2021-01-29 10:00,0.4414527988826343,0.708699915282112,0.7360693894602821,0.33157631985179387,0.5637094430139665,0.4352950029043125,0.6013918397984759,0.8946371517867248,0.4089642624456941,0.44937876454521847,0.26324512329676597,0.7150768021060162,0.2960237192258982,0.7752022752145771,0.25952441874760873,0.3464927453081451,0.5009768872548056
2021-01-29,2021-01-30 10:00,0.4937392312380984,0.732814684210434,0.8077959586220541,0.506444960194584,0.6058408519058958,0.4883467505533893,0.6353926794824494,0.930330605955459,0.5144985843689107,0.4700226291301589,0.3668626247373228,0.8024221618077855,0.3416281697487531,0.8730252025030276,0.3370098144724123,0.4198974583969648,0.5551512070737052
2021-01-31,2021-02-01 10:00,0.5818622293947404,0.8803224018888912,0.8945654860578756,0.5138996777420771,0.7693753101135933,0.5816745188666631,0.7336579687281333,0.9348078336560668,0.5599599079664652,0.5527095253354266,0.4305671140718283,0.8953406013049113,0.400837825220268,0.9194990664220866,0.44397409852629666,0.4537404998082853,0.640354768869001
2021-02-01,2021-02-02 10:00,0.628878578544149,1.000378140910557,0.9443816594726625,0.5759562360496658,0.8687584593116285,0.6612521403402782,0.7847228406763272,1.03660258012683,0.6627170108917024,0.6602359217619262,0.572705313242644,0.9838005769657518,0.4862264490586991,0.997638945462465,0.5028285613234919,0.5360044024078245,0.7296020158834945
2021-02-02,2021-02-03 10:00,0.6850297385840539,1.1027573352517464,1.0018828224404965,0.6922577603411406,0.9694628025167278,0.7557708662538375,0.8212840803552117,1.1145187788610182,0.7643982542051099,0.7527014906653237,0.7174571551890702,1.0785429334868126,0.5890267882556138,1.093958306565299,0.5909552847278351,0.6167683364129564,0.8172127908244442
2021-02-03,2021-02-04 10:00,0.7416313330860148,1.2238645239138888,1.0721105461220644,0.823587677986338,1.0797091024395113,0.8679374184261712,0.8585609597842266,1.1886417707933026,0.8534944420592053,0.8347977661834108,0.8795274338449153,1.1735892761785292,0.696665079392756,1.1982511247130694,0.7163094360337395,0.7347502411668255,0.9094179520938371
