date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,personen_min1_kumulativ,personen_zweit_kumulativ,dosen_biontech_kumulativ,personen_erst_biontech_kumulativ,personen_voll_biontech_kumulativ,personen_min1_biontech_kumulativ,personen_zweit_biontech_kumulativ,dosen_moderna_kumulativ,personen_erst_moderna_kumulativ,personen_voll_moderna_kumulativ,personen_min1_moderna_kumulativ,personen_zweit_moderna_kumulativ,dosen_astrazeneca_kumulativ,personen_erst_astrazeneca_kumulativ,personen_voll_astrazeneca_kumulativ,personen_min1_astrazeneca_kumulativ,personen_zweit_astrazeneca_kumulativ,dosen_janssen_kumulativ,personen_erst_janssen_kumulativ,personen_voll_janssen_kumulativ,personen_min1_janssen_kumulativ,personen_zweit_janssen_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_alter_min1,indikation_alter_zweit,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_beruf_min1,indikation_beruf_zweit,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_medizinisch_min1,indikation_medizinisch_zweit,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,indikation_pflegeheim_min1,indikation_pflegeheim_zweit,dosen_differenz_zum_vortag,personen_erst_differenz_zum_vortag,personen_voll_differenz_zum_vortag,personen_min1_differenz_zum_vortag,personen_zweit_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_quote_min1,impf_quote_zweit,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll,impf_inzidenz_min1,impf_inzidenz_zweit,dosen_kumulativ_alter_unter12,personen_erst_kumulativ_alter_unter12,personen_voll_kumulativ_alter_unter12,personen_min1_kumulativ_alter_unter12,personen_zweit_kumulativ_alter_unter12,impf_quote_dosen_alter_unter12,impf_quote_erst_alter_unter12,impf_quote_voll_alter_unter12,impf_quote_min1_alter_unter12,impf_quote_zweit_alter_unter12,impf_inzidenz_dosen_alter_unter12,impf_inzidenz_erst_alter_unter12,impf_inzidenz_voll_alter_unter12,impf_inzidenz_min1_alter_unter12,impf_inzidenz_zweit_alter_unter12,dosen_kumulativ_alter_12bis17,personen_erst_kumulativ_alter_12bis17,personen_voll_kumulativ_alter_12bis17,personen_min1_kumulativ_alter_12bis17,personen_zweit_kumulativ_alter_12bis17,impf_quote_dosen_alter_12bis17,impf_quote_erst_alter_12bis17,impf_quote_voll_alter_12bis17,impf_quote_min1_alter_12bis17,impf_quote_zweit_alter_12bis17,impf_inzidenz_dosen_alter_12bis17,impf_inzidenz_erst_alter_12bis17,impf_inzidenz_voll_alter_12bis17,impf_inzidenz_min1_alter_12bis17,impf_inzidenz_zweit_alter_12bis17,dosen_kumulativ_alter_unter18,personen_erst_kumulativ_alter_unter18,personen_voll_kumulativ_alter_unter18,personen_min1_kumulativ_alter_unter18,personen_zweit_kumulativ_alter_unter18,impf_quote_dosen_alter_unter18,impf_quote_erst_alter_unter18,impf_quote_voll_alter_unter18,impf_quote_min1_alter_unter18,impf_quote_zweit_alter_unter18,impf_inzidenz_dosen_alter_unter18,impf_inzidenz_erst_alter_unter18,impf_inzidenz_voll_alter_unter18,impf_inzidenz_min1_alter_unter18,impf_inzidenz_zweit_alter_unter18,dosen_kumulativ_alter_18bis59,personen_erst_kumulativ_alter_18bis59,personen_voll_kumulativ_alter_18bis59,personen_min1_kumulativ_alter_18bis59,personen_zweit_kumulativ_alter_18bis59,impf_quote_dosen_alter_18bis59,impf_quote_erst_alter_18bis59,impf_quote_voll_alter_18bis59,impf_quote_min1_alter_18bis59,impf_quote_zweit_alter_18bis59,impf_inzidenz_dosen_alter_18bis59,impf_inzidenz_erst_alter_18bis59,impf_inzidenz_voll_alter_18bis59,impf_inzidenz_min1_alter_18bis59,impf_inzidenz_zweit_alter_18bis59,dosen_kumulativ_alter_60plus,personen_erst_kumulativ_alter_60plus,personen_voll_kumulativ_alter_60plus,personen_min1_kumulativ_alter_60plus,personen_zweit_kumulativ_alter_60plus,impf_quote_dosen_alter_60plus,impf_quote_erst_alter_60plus,impf_quote_voll_alter_60plus,impf_quote_min1_alter_60plus,impf_quote_zweit_alter_60plus,impf_inzidenz_dosen_alter_60plus,impf_inzidenz_erst_alter_60plus,impf_inzidenz_voll_alter_60plus,impf_inzidenz_min1_alter_60plus,impf_inzidenz_zweit_alter_60plus
2020-12-27,2020-12-28 16:15,1626,1626,0,1626,0,1626,1626,0,1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416,1416,0,1416,0,228,228,0,228,0,105,105,0,105,0,1398,1398,0,1398,0,,,,,,0.044311322742036974,0.044311322742036974,0,0.044311322742036974,0,0.44311322742036974,0.44311322742036974,0,0.44311322742036974,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29 08:00,3839,3839,0,3839,0,3839,3839,0,3839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3340,3340,0,3340,0,517,517,0,517,0,105,105,0,105,0,3322,3322,0,3322,0,2213,,,,,0.10461941451825335,0.10461941451825335,0,0.10461941451825335,0,1.0461941451825334,1.0461941451825334,0,1.0461941451825334,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31 08:30,9084,9084,0,9084,0,9084,9084,0,9084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554,6554,0,6554,0,2733,2733,0,2733,0,105,105,0,105,0,6350,6350,0,6350,0,2788,,,,,0.24755476985772687,0.24755476985772687,0,0.24755476985772687,0,2.4755476985772686,2.4755476985772686,0,2.4755476985772686,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-01 12:30,11114,11114,0,11114,0,11114,11114,0,11114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7029,7029,0,7029,0,2952,2952,0,2952,0,105,105,0,105,0,8161,8161,0,8161,0,2030,,,,,0.3028757939452638,0.3028757939452638,0,0.3028757939452638,0,3.028757939452638,3.028757939452638,0,3.028757939452638,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-02 08:00,13137,13137,0,13137,0,13137,13137,0,13137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8662,8662,0,8662,0,3319,3319,0,3319,0,105,105,0,105,0,9817,9817,0,9817,0,2023,,,,,0.3580060558807747,0.3580060558807747,0,0.3580060558807747,0,3.5800605588077477,3.5800605588077477,0,3.5800605588077477,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,2021-01-03 08:00,14616,14616,0,14616,0,14616,14616,0,14616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9817,9817,0,9817,0,3647,3647,0,3647,0,105,105,0,105,0,10968,10968,0,10968,0,1443,,,,,0.39831137343026596,0.39831137343026596,0,0.39831137343026596,0,3.9831137343026595,3.9831137343026595,0,3.9831137343026595,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,2021-01-04 12:00,17758,17758,0,17758,0,17758,17758,0,17758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10507,10507,0,10507,0,6132,6132,0,6132,0,105,105,0,105,0,11625,11625,0,11625,0,935,,,,,0.4839363279539315,0.4839363279539315,0,0.4839363279539315,0,4.839363279539315,4.839363279539315,0,4.839363279539315,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05 12:00,19389,19389,0,19389,0,19389,19389,0,19389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11608,11608,0,11608,0,6783,6783,0,6783,0,105,105,0,105,0,12575,12575,0,12575,0,1631,,,,,0.528383909375987,0.528383909375987,0,0.528383909375987,0,5.2838390937598705,5.28383909375987,0,5.2838390937598705,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06 11:00,21955,21955,0,21955,0,21955,21955,0,21955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13487,13487,0,13487,0,7648,7648,0,7648,0,105,105,0,105,0,14247,14247,0,14247,0,2566,,,,,0.598311863961514,0.598311863961514,0,0.598311863961514,0,5.98311863961514,5.983118639615141,0,5.98311863961514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07 11:00,24159,24159,0,24159,0,24159,24159,0,24159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15037,15037,0,15037,0,8402,8402,0,8402,0,105,105,0,105,0,15272,15272,0,15272,0,2204,,,,,0.658374690113697,0.658374690113697,0,0.658374690113697,0,6.58374690113697,6.583746901136969,0,6.58374690113697,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,2021-01-08 11:00,26406,26406,0,26406,0,26406,26406,0,26406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16673,16673,0,16673,0,9109,9109,0,9109,0,105,105,0,105,0,16773,16773,0,16773,0,2247,,,,,0.7196093409140396,0.7196093409140396,0,0.7196093409140396,0,7.196093409140396,7.196093409140396,0,7.196093409140396,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,2021-01-09 11:00,28871,28871,0,28871,0,28871,28871,0,28871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18591,18591,0,18591,0,9676,9676,0,9676,0,105,105,0,105,0,18171,18171,0,18171,0,2465,,,,,0.7867848701631915,0.7867848701631915,0,0.7867848701631915,0,7.867848701631916,7.867848701631916,0,7.867848701631916,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,2021-01-11 11:00,32014,32014,0,32014,0,32014,32014,0,32014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21120,21120,0,21120,0,10308,10308,0,10308,0,105,105,0,105,0,19661,19661,0,19661,0,1026,,,,,0.8724370764228608,0.8724370764228608,0,0.8724370764228608,0,8.724370764228608,8.724370764228608,0,8.724370764228608,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,2021-01-12 11:00,33798,33798,0,33798,0,33798,33798,0,33798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22634,22634,0,22634,0,10632,10632,0,10632,0,105,105,0,105,0,20422,20422,0,20422,0,1784,,,,,0.9210541734534844,0.9210541734534844,0,0.9210541734534844,0,9.210541734534845,9.210541734534843,0,9.210541734534845,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,2021-01-13 11:00,35893,35893,0,35893,0,35893,35893,0,35893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24446,24446,0,24446,0,11010,11010,0,11010,0,105,105,0,105,0,21428,21428,0,21428,0,2095,,,,,0.9781465603812627,0.9781465603812627,0,0.9781465603812627,0,9.781465603812627,9.781465603812626,0,9.781465603812627,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,2021-01-14 11:00,38408,38408,0,38408,0,38408,38408,0,38408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26527,26527,0,26527,0,11540,11540,0,11540,0,105,105,0,105,0,22520,22520,0,22520,0,2515,,,,,1.0466846764306004,1.0466846764306004,0,1.0466846764306004,0,10.466846764306004,10.466846764306004,0,10.466846764306004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,2021-01-15 11:00,45998,45998,0,45998,0,45998,45998,0,45998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28323,28323,0,28323,0,17386,17386,0,17386,0,105,105,0,105,0,23282,23282,0,23282,0,2196,,,,,1.2535253526987804,1.2535253526987804,0,1.2535253526987804,0,12.535253526987804,12.535253526987804,0,12.535253526987804,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,2021-01-16 11:00,48544,48544,0,48544,0,48544,48544,0,48544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30563,30563,0,30563,0,17738,17738,0,17738,0,105,105,0,105,0,24288,24288,0,24288,0,2546,,,,,1.322908272564233,1.322908272564233,0,1.322908272564233,0,13.22908272564233,13.22908272564233,0,13.22908272564233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,2021-01-18 11:00,54555,52622,1933,52622,1933,54095,52162,1933,52162,1933,460,460,0,460,0,0,0,0,0,0,0,0,0,0,0,35672,34017,1655,34017,1655,18625,18345,280,18345,280,105,105,0,105,0,26991,25336,1655,25336,1655,,1571,1933,,,1.4867184576825505,1.4340408519873737,0.0526776056951768,1.4340408519873737,0.0526776056951768,14.867184576825505,14.340408519873737,0.526776056951768,14.340408519873737,0.526776056951768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
