date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,2020-12-29 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,2020-12-31 08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,2021-01-01 12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,2021-01-02 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,2021-01-03 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,2021-01-04 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,2021-01-05 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,2021-01-06 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,2021-01-07 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,2021-01-08 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,2021-01-09 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,2021-01-11 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,2021-01-12 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,2021-01-13 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,2021-01-14 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,2021-01-15 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,2021-01-16 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,2021-01-18 11:00,0,0,1655,0,0,214,1078,0,242,676,192,0,105,359,0,0,4521
2021-01-18,2021-01-19 14:00,0,0,3055,0,157,336,1527,553,488,2536,556,0,161,1422,0,0,10791
2021-01-19,2021-01-20 10:00,1680,0,4911,0,305,584,2769,295,768,2862,961,0,161,2304,0,0,17600
2021-01-20,2021-01-21 10:00,2525,0,6915,0,502,781,4868,1476,1369,8004,1167,0,161,3144,0,6,30918
2021-01-21,2021-01-22 10:00,3188,5087,8049,0,798,781,6291,1806,1812,10846,1641,1049,360,3884,0,95,45687
2021-01-22,2021-01-23 10:00,3839,9500,11174,0,798,1136,7195,1806,2175,13612,2057,1227,596,4448,0,95,59658
2021-01-24,2021-01-25 10:00,5429,17204,13235,0,832,1720,9976,1915,2864,24161,2057,1502,801,4936,0,144,86776
2021-01-25,2021-01-26 10:00,6076,30406,14204,21,880,1824,11496,2613,4747,27427,2057,1693,1452,5696,174,144,110910
2021-01-26,2021-01-27 10:00,7039,31692,15872,21,1086,1946,12533,3520,7830,31110,2100,1995,2017,6430,516,167,125874
2021-01-27,2021-01-28 10:00,7618,32749,16936,21,1232,2030,13280,4293,11815,36365,2272,2265,2017,6956,525,401,140775
2021-01-28,2021-01-29 10:00,8525,33288,17943,50,1478,2235,13971,0,15858,40562,2749,2438,2145,7524,1082,497,150345
2021-01-29,2021-01-30 10:00,9241,33946,19309,754,1571,2353,14682,0,19731,41793,3093,2715,2237,8475,1877,667,162444
2021-01-31,2021-02-01 10:00,10585,40686,20815,754,2051,2655,16941,0,21258,48473,3938,3029,2641,9041,2402,667,185936
2021-02-01,2021-02-02 10:00,11575,44554,21594,1385,2366,2928,18573,5757,24664,56858,4441,3301,2783,9497,2742,1122,214140
2021-02-02,2021-02-03 10:00,13056,48344,23175,2332,2660,3170,19502,6253,28098,64655,5049,3628,3396,10177,3546,1532,238573
2021-02-03,2021-02-04 10:00,14274,52923,24194,3088,2998,3608,20536,6805,30939,71142,6165,3962,3965,10820,4466,1841,261726
2021-02-04,2021-02-05 10:00,15854,56218,25013,4287,3434,3977,21821,7270,33757,80229,7341,4288,4522,11607,5300,2133,287051
2021-02-05,2021-02-06 10:00,17543,59061,26021,5233,3699,4797,23182,7439,36620,85144,8266,4708,4942,11836,6336,2485,307312
2021-02-07,2021-02-08 11:00,19831,62470,27177,5464,3958,5892,23986,7439,38187,68420,10335,5102,5685,12047,8445,2793,307231
2021-02-08,2021-02-09 10:00,20605,63792,27625,6047,4190,6348,24742,8135,39888,68420,11306,5178,6054,12257,9588,2795,316970
2021-02-09,2021-02-10 10:00,21710,65126,28016,7000,4492,6908,25412,9134,41252,104982,12975,5183,6815,12553,10489,3095,365142
2021-02-10,2021-02-11 10:00,22901,66079,28668,8083,4641,7266,26169,10252,42602,108924,14513,5186,7412,13194,11484,3530,380904
2021-02-11,2021-02-12 10:00,23865,66643,28865,9064,4789,7875,26666,11038,46728,113452,15788,5187,7783,13543,12527,3798,397611
2021-02-12,2021-02-13 08:00,25977,67893,29159,10045,4912,8202,27547,11472,50512,116635,16648,5292,8514,13816,13605,4128,414357
2021-02-14,2021-02-15 08:00,28735,69785,29771,10026,5469,8687,28033,11472,52903,119941,18070,5366,9333,13900,15796,4635,431922
2021-02-15,2021-02-16 08:00,30402,71551,30149,11326,5683,9146,28523,12053,54727,121947,18597,5372,10004,14177,17191,5310,446158
2021-02-16,2021-02-17 10:00,31683,72946,30246,12161,5861,9384,28891,12903,55947,123368,19711,5413,10191,14341,18604,9080,460730
2021-02-17,2021-02-18 08:00,33483,75535,30611,13222,5881,9647,29570,13434,57677,124344,20829,5416,10683,14667,19853,9381,474233
2021-02-18,2021-02-19 08:00,34934,77782,30874,14385,5885,9919,29792,13948,59008,125867,22461,5576,11391,14912,21142,9815,487691
2021-02-19,2021-02-20 08:00,37105,80133,31303,14386,5962,10473,30117,14403,60277,126685,23573,5582,11862,15012,23680,10356,500909
2021-02-21,2021-02-22 08:00,40017,82531,31634,14386,6071,10914,30661,14411,62342,126876,26384,5597,13037,15331,26746,10575,517513
2021-02-22,2021-02-23 08:00,42039,83489,31777,15779,6332,11201,30887,14550,63685,127396,27486,5611,13497,15635,28702,10686,528752
2021-02-23,2021-02-24 08:00,43931,84816,32103,16104,6368,11493,31181,14839,64936,128543,28450,5615,14124,15989,30362,10756,539610
2021-02-24,2021-02-25 08:00,45741,86461,32251,16455,6421,11684,31589,14973,66098,130060,29104,5714,14553,16186,31916,10960,550166
2021-02-25,2021-02-26 10:00,47301,87517,32616,16456,6423,11856,31870,15113,67570,131568,29412,5738,15068,16289,33640,10966,559403
2021-02-26,2021-02-27 08:00,49050,88558,33206,16561,6555,11928,32247,15324,68787,132863,30139,5857,15561,16531,35230,11205,569602
2021-02-28,2021-03-01 08:00,51737,90236,33455,16561,6844,11968,33306,15324,70083,134557,31017,5960,15561,16531,35229,11375,579744
2021-03-01,2021-03-02 08:00,53613,91318,33744,16845,6849,12012,33471,15549,71471,137739,31018,6336,16035,16728,36589,11581,590898
2021-03-02,2021-03-03 10:00,55299,92233,34046,16908,6856,12112,33890,15815,72473,139520,31047,6744,17479,17224,37811,11994,601451
2021-03-03,2021-03-04 08:00,56940,92233,34392,16930,6911,12260,34410,15927,74007,142056,31114,7121,17938,17331,38703,12272,610545
2021-03-04,2021-03-05 08:00,58292,95667,34809,17083,6917,12361,34906,16142,75550,143759,31273,7573,18324,17929,39967,12964,623516
2021-03-05,2021-03-06 08:00,59815,97428,35738,17123,6920,12395,35094,16265,76579,144283,31565,8003,18862,17930,40687,13530,632217
2021-03-07,2021-03-08 08:00,61405,99119,36266,17421,7017,12490,35480,16265,77832,144285,31696,8254,19573,18701,40687,14449,640940
2021-03-08,2021-03-09 08:00,62895,99838,36778,17421,7030,12610,35935,16431,78450,145800,32235,8595,19934,19130,40686,14568,648336
