date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,personen_min1_kumulativ,personen_zweit_kumulativ,personen_auffr_kumulativ,dosen_biontech_kumulativ,personen_erst_biontech_kumulativ,personen_voll_biontech_kumulativ,personen_min1_biontech_kumulativ,personen_zweit_biontech_kumulativ,personen_auffr_biontech_kumulativ,dosen_moderna_kumulativ,personen_erst_moderna_kumulativ,personen_voll_moderna_kumulativ,personen_min1_moderna_kumulativ,personen_zweit_moderna_kumulativ,personen_auffr_moderna_kumulativ,dosen_astrazeneca_kumulativ,personen_erst_astrazeneca_kumulativ,personen_voll_astrazeneca_kumulativ,personen_min1_astrazeneca_kumulativ,personen_zweit_astrazeneca_kumulativ,personen_auffr_astrazeneca_kumulativ,dosen_janssen_kumulativ,personen_erst_janssen_kumulativ,personen_voll_janssen_kumulativ,personen_min1_janssen_kumulativ,personen_zweit_janssen_kumulativ,personen_auffr_janssen_kumulativ,dosen_novavax_kumulativ,personen_erst_novavax_kumulativ,personen_voll_novavax_kumulativ,personen_min1_novavax_kumulativ,personen_zweit_novavax_kumulativ,personen_auffr_novavax_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_alter_min1,indikation_alter_zweit,indikation_alter_auffr,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_beruf_min1,indikation_beruf_zweit,indikation_beruf_auffr,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_medizinisch_min1,indikation_medizinisch_zweit,indikation_medizinisch_auffr,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,indikation_pflegeheim_min1,indikation_pflegeheim_zweit,indikation_pflegeheim_auffr,dosen_differenz_zum_vortag,personen_erst_differenz_zum_vortag,personen_voll_differenz_zum_vortag,personen_min1_differenz_zum_vortag,personen_zweit_differenz_zum_vortag,personen_auffr_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_quote_min1,impf_quote_zweit,impf_quote_auffr,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll,impf_inzidenz_min1,impf_inzidenz_zweit,impf_inzidenz_auffr,dosen_kumulativ_alter_5bis11,personen_erst_kumulativ_alter_5bis11,personen_voll_kumulativ_alter_5bis11,personen_min1_kumulativ_alter_5bis11,personen_zweit_kumulativ_alter_5bis11,personen_auffr_kumulativ_alter_5bis11,impf_quote_dosen_alter_5bis11,impf_quote_erst_alter_5bis11,impf_quote_voll_alter_5bis11,impf_quote_min1_alter_5bis11,impf_quote_zweit_alter_5bis11,impf_quote_auffr_alter_5bis11,impf_inzidenz_dosen_alter_5bis11,impf_inzidenz_erst_alter_5bis11,impf_inzidenz_voll_alter_5bis11,impf_inzidenz_min1_alter_5bis11,impf_inzidenz_zweit_alter_5bis11,impf_inzidenz_auffr_alter_5bis11,dosen_kumulativ_alter_5bis17,personen_erst_kumulativ_alter_5bis17,personen_voll_kumulativ_alter_5bis17,personen_min1_kumulativ_alter_5bis17,personen_zweit_kumulativ_alter_5bis17,personen_auffr_kumulativ_alter_5bis17,impf_quote_dosen_alter_5bis17,impf_quote_erst_alter_5bis17,impf_quote_voll_alter_5bis17,impf_quote_min1_alter_5bis17,impf_quote_zweit_alter_5bis17,impf_quote_auffr_alter_5bis17,impf_inzidenz_dosen_alter_5bis17,impf_inzidenz_erst_alter_5bis17,impf_inzidenz_voll_alter_5bis17,impf_inzidenz_min1_alter_5bis17,impf_inzidenz_zweit_alter_5bis17,impf_inzidenz_auffr_alter_5bis17,dosen_kumulativ_alter_12bis17,personen_erst_kumulativ_alter_12bis17,personen_voll_kumulativ_alter_12bis17,personen_min1_kumulativ_alter_12bis17,personen_zweit_kumulativ_alter_12bis17,personen_auffr_kumulativ_alter_12bis17,impf_quote_dosen_alter_12bis17,impf_quote_erst_alter_12bis17,impf_quote_voll_alter_12bis17,impf_quote_min1_alter_12bis17,impf_quote_zweit_alter_12bis17,impf_quote_auffr_alter_12bis17,impf_inzidenz_dosen_alter_12bis17,impf_inzidenz_erst_alter_12bis17,impf_inzidenz_voll_alter_12bis17,impf_inzidenz_min1_alter_12bis17,impf_inzidenz_zweit_alter_12bis17,impf_inzidenz_auffr_alter_12bis17,dosen_kumulativ_alter_18plus,personen_erst_kumulativ_alter_18plus,personen_voll_kumulativ_alter_18plus,personen_min1_kumulativ_alter_18plus,personen_zweit_kumulativ_alter_18plus,personen_auffr_kumulativ_alter_18plus,impf_quote_dosen_alter_18plus,impf_quote_erst_alter_18plus,impf_quote_voll_alter_18plus,impf_quote_min1_alter_18plus,impf_quote_zweit_alter_18plus,impf_quote_auffr_alter_18plus,impf_inzidenz_dosen_alter_18plus,impf_inzidenz_erst_alter_18plus,impf_inzidenz_voll_alter_18plus,impf_inzidenz_min1_alter_18plus,impf_inzidenz_zweit_alter_18plus,impf_inzidenz_auffr_alter_18plus,dosen_kumulativ_alter_18bis59,personen_erst_kumulativ_alter_18bis59,personen_voll_kumulativ_alter_18bis59,personen_min1_kumulativ_alter_18bis59,personen_zweit_kumulativ_alter_18bis59,personen_auffr_kumulativ_alter_18bis59,impf_quote_dosen_alter_18bis59,impf_quote_erst_alter_18bis59,impf_quote_voll_alter_18bis59,impf_quote_min1_alter_18bis59,impf_quote_zweit_alter_18bis59,impf_quote_auffr_alter_18bis59,impf_inzidenz_dosen_alter_18bis59,impf_inzidenz_erst_alter_18bis59,impf_inzidenz_voll_alter_18bis59,impf_inzidenz_min1_alter_18bis59,impf_inzidenz_zweit_alter_18bis59,impf_inzidenz_auffr_alter_18bis59,dosen_kumulativ_alter_60plus,personen_erst_kumulativ_alter_60plus,personen_voll_kumulativ_alter_60plus,personen_min1_kumulativ_alter_60plus,personen_zweit_kumulativ_alter_60plus,personen_auffr_kumulativ_alter_60plus,impf_quote_dosen_alter_60plus,impf_quote_erst_alter_60plus,impf_quote_voll_alter_60plus,impf_quote_min1_alter_60plus,impf_quote_zweit_alter_60plus,impf_quote_auffr_alter_60plus,impf_inzidenz_dosen_alter_60plus,impf_inzidenz_erst_alter_60plus,impf_inzidenz_voll_alter_60plus,impf_inzidenz_min1_alter_60plus,impf_inzidenz_zweit_alter_60plus,impf_inzidenz_auffr_alter_60plus
2020-12-27,2020-12-28 16:15,3112,3112,0,3112,0,,3112,3112,0,3112,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,1086,1086,0,1086,0,,1694,1694,0,1694,0,,154,154,0,154,0,,1347,1347,0,1347,0,,,,,,,,0.04949046449790715,0.04949046449790715,0,0.04949046449790715,0,,0.4949046449790715,0.4949046449790715,0,0.4949046449790715,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29 08:00,4354,4354,0,4354,0,,4354,4354,0,4354,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,1480,1480,0,1480,0,,2425,2425,0,2425,0,,287,287,0,287,0,,1702,1702,0,1702,0,,1242,,,,,,0.06924212160150635,0.06924212160150635,0,0.06924212160150635,0,,0.6924212160150635,0.6924212160150635,0,0.6924212160150635,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31 08:30,15674,15674,0,15674,0,,15674,15674,0,15674,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,4677,4677,0,4677,0,,8681,8681,0,8681,0,,712,712,0,712,0,,6512,6512,0,6512,0,,6226,,,,,,0.24926527652319946,0.24926527652319946,0,0.24926527652319946,0,,2.4926527652319943,2.4926527652319943,0,2.4926527652319943,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-01 12:30,21373,21373,0,21373,0,,21373,21373,0,21373,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,6073,6073,0,6073,0,,12345,12345,0,12345,0,,821,821,0,821,0,,8513,8513,0,8513,0,,5699,,,,,,0.3398970751008257,0.3398970751008257,0,0.3398970751008257,0,,3.3989707510082567,3.3989707510082567,0,3.3989707510082567,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-02 08:00,24791,24791,0,24791,0,,24791,24791,0,24791,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,6909,6909,0,6909,0,,14480,14480,0,14480,0,,955,955,0,955,0,,9680,9680,0,9680,0,,3418,,,,,,0.3942538898996196,0.3942538898996196,0,0.3942538898996196,0,,3.942538898996196,3.942538898996196,0,3.942538898996196,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,2021-01-03 08:00,30085,30085,0,30085,0,,30085,30085,0,30085,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,8443,8443,0,8443,0,,17635,17635,0,17635,0,,1096,1096,0,1096,0,,11569,11569,0,11569,0,,5294,,,,,,0.4784449307260722,0.4784449307260722,0,0.4784449307260722,0,,4.784449307260722,4.784449307260722,0,4.784449307260722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,2021-01-04 12:00,33405,33405,0,33405,0,,33405,33405,0,33405,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,9387,9387,0,9387,0,,19405,19405,0,19405,0,,1185,1185,0,1185,0,,12955,12955,0,12955,0,,3320,,,,,,0.5312432411801377,0.5312432411801377,0,0.5312432411801377,0,,5.312432411801376,5.312432411801376,0,5.312432411801376,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05 12:00,37795,37795,0,37795,0,,37795,37795,0,37795,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,10329,10329,0,10329,0,,22051,22051,0,22051,0,,1492,1492,0,1492,0,,14561,14561,0,14561,0,,4390,,,,,,0.6010578745817483,0.6010578745817483,0,0.6010578745817483,0,,6.010578745817483,6.010578745817483,0,6.010578745817483,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06 11:00,41298,41298,0,41298,0,,41298,41298,0,41298,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,11393,11393,0,11393,0,,23963,23963,0,23963,0,,1657,1657,0,1657,0,,15925,15925,0,15925,0,,3503,,,,,,0.6567664533530108,0.6567664533530108,0,0.6567664533530108,0,,6.567664533530108,6.567664533530108,0,6.567664533530108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07 11:00,44122,44122,0,44122,0,,44122,44122,0,44122,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,11916,11916,0,11916,0,,25931,25931,0,25931,0,,1853,1853,0,1853,0,,16780,16780,0,16780,0,,2824,,,,,,0.7016768234500833,0.7016768234500833,0,0.7016768234500833,0,,7.016768234500834,7.016768234500833,0,7.016768234500834,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,2021-01-08 11:00,46006,46006,0,46006,0,,46006,46006,0,46006,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,12286,12286,0,12286,0,,27009,27009,0,27009,0,,2101,2101,0,2101,0,,17520,17520,0,17520,0,,1884,,,,,,0.7316382743222096,0.7316382743222096,0,0.7316382743222096,0,,7.316382743222096,7.316382743222096,0,7.316382743222096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,2021-01-09 11:00,48653,48653,0,48653,0,,48653,48653,0,48653,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,12574,12574,0,12574,0,,28861,28861,0,28861,0,,2320,2320,0,2320,0,,18148,18148,0,18148,0,,2647,,,,,,0.7737337947354359,0.7737337947354359,0,0.7737337947354359,0,,7.7373379473543595,7.7373379473543595,0,7.7373379473543595,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,2021-01-11 11:00,54361,54361,0,54361,0,,54361,54361,0,54361,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,14595,14595,0,14595,0,,31645,31645,0,31645,0,,2723,2723,0,2723,0,,20567,20567,0,20567,0,,2120,,,,,,0.8645087212630883,0.8645087212630883,0,0.8645087212630883,0,,8.645087212630882,8.645087212630882,0,8.645087212630882,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,2021-01-12 11:00,57475,57475,0,57475,0,,57475,57475,0,57475,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,15315,15315,0,15315,0,,33237,33237,0,33237,0,,2915,2915,0,2915,0,,22059,22059,0,22059,0,,3114,,,,,,0.9140309919721123,0.9140309919721123,0,0.9140309919721123,0,,9.140309919721123,9.140309919721123,0,9.140309919721123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,2021-01-13 11:00,60344,60344,0,60344,0,,60344,60344,0,60344,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,15955,15955,0,15955,0,,34864,34864,0,34864,0,,3172,3172,0,3172,0,,23182,23182,0,23182,0,,2869,,,,,,0.9596570018193152,0.9596570018193152,0,0.9596570018193152,0,,9.596570018193153,9.596570018193152,0,9.596570018193153,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,2021-01-14 11:00,62171,62171,0,62171,0,,62171,62171,0,62171,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,16135,16135,0,16135,0,,35893,35893,0,35893,0,,3338,3338,0,3338,0,,24013,24013,0,24013,0,,1827,,,,,,0.9887119756746098,0.9887119756746098,0,0.9887119756746098,0,,9.887119756746097,9.887119756746097,0,9.887119756746097,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,2021-01-15 11:00,65673,65673,0,65673,0,,65673,65673,0,65673,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,17201,17201,0,17201,0,,37398,37398,0,37398,0,,3700,3700,0,3700,0,,25588,25588,0,25588,0,,3502,,,,,,1.0444046513403138,1.0444046513403138,0,1.0444046513403138,0,,10.444046513403137,10.444046513403137,0,10.444046513403137,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,2021-01-16 11:00,69925,69925,0,69925,0,,69925,69925,0,69925,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,18056,18056,0,18056,0,,39725,39725,0,39725,0,,3952,3952,0,3952,0,,27404,27404,0,27404,0,,4252,,,,,,1.112024656174858,1.112024656174858,0,1.112024656174858,0,,11.120246561748578,11.120246561748578,0,11.120246561748578,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,2021-01-18 11:00,74552,72816,1736,72816,1736,,74552,72816,1736,72816,1736,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,19451,18718,733,18718,733,,42065,41377,688,41377,688,,4130,4096,34,4096,34,,29537,28459,1078,28459,1078,,,926,1736,,,,1.185608325593822,1.1580005343443467,0.027607791249475197,1.1580005343443467,0.027607791249475197,,11.85608325593822,11.580005343443467,0.276077912494752,11.580005343443467,0.276077912494752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,2021-01-19 14:00,77071,74071,3000,74071,3000,,77071,74071,3000,74071,3000,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,19911,18945,966,18945,966,,43546,42128,1418,42128,1418,,4305,4244,61,4244,61,,30443,28916,1527,28916,1527,,,1255,1264,,,,1.225668248495566,1.177958931820206,0.047709316675360366,1.177958931820206,0.047709316675360366,,12.256682484955663,11.779589318202058,0.47709316675360364,11.779589318202058,0.47709316675360364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,2021-01-20 10:00,83320,76907,6413,76907,6413,,83320,76907,6413,76907,6413,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,22077,20172,1905,20172,1905,,46614,43333,3281,43333,3281,,4582,4328,254,4328,254,,32560,29791,2769,29791,2769,,,2836,3413,,,,1.3250467551303418,1.22306013918398,0.101986615946362,1.22306013918398,0.101986615946362,,13.25046755130342,12.230601391839798,1.01986615946362,12.230601391839798,1.01986615946362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,2021-01-21 10:00,94369,82019,12350,82019,12350,,94369,82019,12350,82019,12350,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,25491,22690,2801,22690,2801,,52418,45336,7082,45336,7082,,4737,4380,357,4380,357,,35602,30734,4868,30734,4868,,,5112,5937,,,,1.5007601684456942,1.304356814798794,0.19640335364690018,1.3043568147987938,0.19640335364690018,,15.00760168445694,13.043568147987939,1.9640335364690016,13.043568147987939,1.9640335364690016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,2021-01-22 10:00,100110,84556,15554,84556,15554,,100110,84556,15554,84556,15554,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,27587,23878,3709,23878,3709,,53636,46419,7217,46419,7217,,6463,4449,2014,4449,2014,,37526,31235,6291,31235,6291,,,2537,3204,,,,1.5920598974567755,1.3447029936005903,0.24735690385618503,1.3447029936005903,0.24735690385618503,,15.920598974567753,13.447029936005903,2.4735690385618505,13.447029936005903,2.4735690385618505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,2021-01-23 10:00,107304,89249,18055,89249,18055,,107304,89249,18055,89249,18055,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,30790,26457,4333,26457,4333,,56958,48209,8749,48209,8749,,6732,4559,2173,4559,2173,,39228,32033,7195,32033,7195,,,4693,2501,,,,1.7064668388442894,1.4193362679864125,0.28713057085787713,1.4193362679864123,0.28713057085787713,,17.064668388442897,14.193362679864125,2.871305708578771,14.193362679864125,2.871305708578771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,2021-01-25 10:00,123506,97061,26445,97061,26445,,123506,97061,26445,97061,26445,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,38596,32401,6195,32401,6195,,63271,49656,13615,49656,13615,,6957,4572,2385,4572,2385,,42717,32741,9976,32741,9976,,,2903,4119,,,,1.9641289551023524,1.5435713286090507,0.42055762649330164,1.5435713286090509,0.42055762649330164,,19.641289551023522,15.435713286090508,4.205576264933016,15.435713286090508,4.205576264933016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,2021-01-26 10:00,133933,104288,29645,104288,29645,,133933,104288,29645,104288,29645,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,44105,37101,7004,37101,7004,,66857,51430,15427,51430,15427,,7286,4669,2617,4669,2617,,44792,33296,11496,33296,11496,,,7227,3200,,,,2.1299506367603467,1.6585030724799938,0.47144756428035267,1.6585030724799938,0.47144756428035267,,21.299506367603467,16.58503072479994,4.714475642803527,16.58503072479994,4.714475642803527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,2021-01-27 10:00,141478,108901,32577,108901,32577,,141478,108901,32577,108901,32577,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,48011,40228,7783,40228,7783,,69669,52475,17194,52475,17194,,7537,4731,2806,4731,2806,,46508,33975,12533,33975,12533,,,4613,2932,,,,2.249939568198878,1.7318640984211395,0.5180754697777382,1.7318640984211398,0.5180754697777382,,22.49939568198878,17.318640984211395,5.180754697777382,17.318640984211395,5.180754697777382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,2021-01-28 10:00,150343,114788,35555,114788,35555,,150343,114788,35555,114788,35555,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,51775,43502,8273,43502,8273,,73875,54609,19266,54609,19266,,7821,4778,3043,4778,3043,,47993,34713,13280,34713,13280,,,5887,2978,,,,2.3909205989745677,1.8254856808437552,0.5654349181308126,1.8254856808437552,0.5654349181308126,,23.90920598974568,18.25485680843755,5.654349181308126,18.25485680843755,5.654349181308126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,2021-01-29 10:00,156885,119069,37816,119069,37816,,156885,119069,37816,119069,37816,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,55416,46771,8645,46771,8645,,76154,55360,20794,55360,20794,,8052,4811,3241,4811,3241,,48970,34999,13971,34999,13971,,,4281,2261,,,,2.49495871553797,1.8935668757394946,0.6013918397984759,1.8935668757394943,0.6013918397984759,,24.949587155379703,18.935668757394943,6.013918397984758,18.935668757394943,6.013918397984758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,2021-01-30 10:00,163787,123833,39954,123833,39954,,163787,123833,39954,123833,39954,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,59146,50192,8954,50192,8954,,78585,56303,22282,56303,22282,,8288,4895,3393,4895,3393,,50283,35601,14682,35601,14682,,,4764,2138,,,,2.604721950102416,1.9693292706199665,0.6353926794824494,1.9693292706199668,0.6353926794824494,,26.04721950102416,19.693292706199667,6.353926794824494,19.693292706199667,6.353926794824494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,2021-02-01 10:00,176896,130763,46133,130763,46133,,176896,130763,46133,130763,46133,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,65526,54562,10964,54562,10964,,83364,57843,25521,57843,25521,,8588,4993,3595,4993,3595,,53737,36796,16941,36796,16941,,,4179,3119,,,,2.813195760868182,2.0795377921400493,0.7336579687281333,2.0795377921400493,0.7336579687281333,,28.131957608681823,20.79537792140049,7.336579687281333,20.79537792140049,7.336579687281333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,2021-02-02 10:00,184555,135211,49344,135211,49344,,184555,135211,49344,135211,49344,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,69009,57107,11902,57107,11902,,86456,59310,27146,59310,27146,,8844,5129,3715,5129,3715,,55911,37338,18573,37338,18573,,,4448,3211,,,,2.9349976463403773,2.15027480566405,0.7847228406763272,2.15027480566405,0.7847228406763272,,29.349976463403774,21.502748056640502,7.847228406763273,21.502748056640502,7.847228406763273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
