date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,2020-12-29 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,2020-12-31 08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,2021-01-01 12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,2021-01-02 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,2021-01-03 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,2021-01-04 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,2021-01-05 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,2021-01-06 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,2021-01-07 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,2021-01-08 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,2021-01-09 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,2021-01-11 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,2021-01-12 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,2021-01-13 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,2021-01-14 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,2021-01-15 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,2021-01-16 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,2021-01-18 11:00,0,0,0.526776056951768,0,0,0.230071354600588,0.276077912494752,0,0.04190848487941866,0.05393592690478376,0.08549298798725813,0,0.038065104098236456,0.30937013334353936,0,0,0.07913021833940265
2021-01-18,2021-01-19 14:00,0.4015172794767465,0.0319244492289636,1.1276768358336346,0,0.5725174030610597,0.3237239295321215,0.47709316675360364,0.7194656180004453,0.10470866222111468,0.25591705813395843,0.2921417532364592,0,0.09037392456871624,1.3336176440302498,0.2204029033949968,0.009843543900799577,0.29748681536774974
2021-01-19,2021-01-20 10:00,0.7007859360667739,0.1264025328659919,1.793981781124412,0.44530041520397573,1.048147245604094,0.5554193172240077,1.01986615946362,0.23567629146254862,0.19453042981342092,0.2999350150087303,0.47045569960988326,0,0.27971711979284725,2.5660862901190185,0.3677973450404009,0.136403394053937,0.5130658587664961
2021-01-20,2021-01-21 10:00,1.0441971699382924,0.3106347959581971,2.5540326982679615,0.44530041520397573,1.8188437497247512,0.8991729882154745,1.9640335364690016,1.8760827739907893,0.35453327208439545,0.8944560274819149,0.5769555360740105,0,0.6264779390619433,3.529735527264211,0.40154653962275977,0.21515174526033362,0.9330896829622131
2021-01-21,2021-01-22 10:00,1.4007610901018468,1.272711216994291,3.4048318963038744,0.44530041520397573,2.586604267163044,1.1725518919173497,2.4735690385618505,2.2212024092459726,0.44810803832261975,1.2189630918346634,0.7884896149224835,2.719662940133977,0.8209783419380934,4.104280060616499,0.45699164500806366,0.5634257032743377,1.3848690012521958
2021-01-22,2021-01-23 10:00,1.7075069587620042,3.566623849300752,4.286425556023983,0.44530041520397573,2.599816207233684,1.5406660592782906,2.871305708578771,2.254781617000531,0.5077807167927174,1.4554899613706211,0.9966039742514662,3.2840639303182635,0.9319810971148861,4.609569424207051,0.5251787932458908,0.7359220916312065,1.9650169885881383
2021-01-24,2021-01-25 10:00,2.3557722365530447,5.1367124537428825,4.948370223554166,0.44530041520397573,2.736339587963629,2.027875986667771,4.205576264933016,2.3269147299547677,0.6779166554076708,2.625643268113765,1.0229846676875343,4.096720293204794,1.12942847579219,5.231499073712104,0.5272450704652188,0.811858001723089,2.750655848347784
2021-01-25,2021-01-26 10:00,2.743235960813643,7.133704850619102,5.3944811419349445,0.45402402084465915,3.1150818699886376,2.374877723841834,4.714475642803527,3.6122521823375853,1.1097616995979789,3.00781942786574,1.112874437914137,4.727998240933359,1.5626339185617972,5.92632890191372,0.9625408046703375,0.9571674593063207,3.4059781443082437
2021-01-26,2021-01-27 10:00,3.4874437790226183,6.579179453272093,6.115562076593184,1.0924333427310358,4.041385668274609,2.7559841559331613,5.180754697777382,6.144373181903543,1.93992500007506,3.43406926342524,1.2308547613365535,5.492016816514961,2.2117053387659196,6.711372701252334,1.5180249971330404,1.1118517206046,3.831749460430147
2021-01-27,2021-01-28 10:00,3.9326532013188,6.884328425019107,6.733903966517427,1.973914039969182,4.701982671806601,3.395853193904679,5.654349181308126,7.908525263379138,2.960865731719644,4.01705645681858,1.5080963080952334,6.371550136945769,2.583024289711297,7.16927694869012,1.9319692000717688,2.1313616246159848,4.401773204665987
2021-01-28,2021-01-29 10:00,4.414527988826342,7.08699915282112,7.360693894602821,3.3157631985179385,5.637094430139665,4.352950029043125,6.013918397984758,8.946371517867247,4.089642624456941,4.493787645452184,2.6324512329676595,7.150768021060162,2.9602371922589823,7.752022752145772,2.595244187476087,3.464927453081451,5.009768872548056
2021-01-29,2021-01-30 10:00,4.937392312380984,7.328146842104341,8.07795958622054,5.06444960194584,6.058408519058958,4.8834675055338925,6.353926794824494,9.30330605955459,5.144985843689107,4.700226291301589,3.668626247373228,8.024221618077855,3.4162816974875314,8.730252025030277,3.3700981447241225,4.198974583969648,5.551512070737052
2021-01-31,2021-02-01 10:00,5.818622293947404,8.803224018888912,8.945654860578756,5.138996777420771,7.6937531011359335,5.816745188666631,7.336579687281333,9.348078336560668,5.599599079664652,5.527095253354266,4.305671140718283,8.953406013049113,4.0083782522026805,9.194990664220866,4.439740985262967,4.537404998082852,6.40354768869001
2021-02-01,2021-02-02 10:00,6.2887857854414895,10.003781409105569,9.443816594726625,5.759562360496659,8.687584593116286,6.612521403402782,7.847228406763273,10.366025801268298,6.627170108917024,6.602359217619263,5.72705313242644,9.838005769657519,4.862264490586991,9.97638945462465,5.028285613234919,5.360044024078245,7.296020158834946
2021-02-02,2021-02-03 10:00,6.8502973858405385,11.027573352517464,10.018828224404965,6.922577603411406,9.694628025167278,7.557708662538374,8.212840803552117,11.145187788610182,7.6439825420510985,7.527014906653236,7.174571551890702,10.785429334868125,5.890267882556138,10.93958306565299,5.909552847278351,6.167683364129563,8.172127908244441
2021-02-03,2021-02-04 10:00,7.416313330860148,12.238645239138886,10.721105461220644,8.23587677986338,10.797091024395113,8.679374184261713,8.585609597842266,11.886417707933026,8.534944420592053,8.347977661834108,8.795274338449152,11.73589276178529,6.96665079392756,11.982511247130695,7.1630943603373955,7.3475024116682555,9.094179520938372
2021-02-04,2021-02-05 10:00,8.041246103516686,13.187235675655824,11.32391386162277,9.549572483844477,12.049289344423533,9.607779768120555,9.065406292540807,12.722166878713145,9.425155699403824,9.465420858193031,10.505622629554242,12.67723660358278,7.921225372184625,12.793070109013104,8.14526479859135,8.568101855367404,10.032836335201473
2021-02-05,2021-02-06 10:00,8.662575400476776,14.036776508359749,12.013382782516704,10.955262574581871,12.968253176003593,10.705626137838184,9.738743781885727,13.130092069212965,10.321121576139335,10.083678136018941,12.120463039793567,13.724975605109805,8.825946943138838,13.291525080850855,9.615076660606734,9.626517194796234,10.860968158281503
2021-02-07,2021-02-08 11:00,9.607046380515863,14.986357440914816,14.447507842368328,11.099202067653147,13.953276707936853,12.383252321149296,10.115488352565489,13.130092069212965,10.701550538880566,11.103836075791344,13.25825257706399,14.75346214916196,10.338236691764259,13.440059194945102,11.31355653489443,10.481030553422787,11.80657486863945
2021-02-08,2021-02-09 10:00,10.197656047163731,15.465833715372735,15.120625721660033,12.056816050482713,14.66378548506904,13.147089218423249,10.41430770600883,14.616282930942493,11.140651380452981,11.103836075791344,14.802011674433908,15.367514213886697,11.097574123194885,13.90206407743457,12.421425503990843,10.97789515032029,12.320205857365215
2021-02-09,2021-02-10 10:00,10.786734236640608,15.89388038785082,15.73188216022331,13.268207651950341,15.644405036978752,14.356993871440459,10.942608872660653,16.255445739109454,11.538093937055708,12.79523999843764,16.8250200358924,15.529640171569795,12.077934739712045,14.520348718004795,13.695629789243167,12.160526638973497,13.280481898580792
2021-02-10,2021-02-11 10:00,11.316895598480558,16.240477809193433,16.387286411112605,15.85475672441297,16.70723221599467,15.494899724076777,11.442920573529598,17.96611982305001,11.925403397314454,14.148820031803252,18.671668576417176,15.721151459082956,12.852498212781967,15.36006765136583,14.80039934251059,13.474405379637364,14.173038537017533
2021-02-11,2021-02-12 10:00,11.847507394782564,16.666924449609922,17.18194703298087,18.97344574095729,17.897774815693435,16.572175007971296,12.140271752267783,19.676793906990568,12.98800241392873,15.014692246782943,20.641915551003528,15.917729182773712,13.40039013047981,16.08906943833146,16.053252096496525,14.699223485008282,15.069803590044579
2021-02-12,2021-02-13 08:00,12.797023240796678,17.29421320975803,18.630104284218167,21.795135638189247,19.286496516451802,17.359831057250958,12.750951005712395,20.580323330460445,14.224490367803876,15.501898594774088,22.925799658663138,16.20550275766121,14.079422471328995,16.956125938703707,17.461764401005176,15.80076292152633,16.01088926072837
2021-02-14,2021-02-15 08:00,14.234359609217474,18.097581688684503,20.36304217669426,21.826461312989885,21.212503780082855,18.7543341383124,13.65838220887775,20.582810679183005,15.029383477398442,16.055967662068685,24.633705292968592,16.44261197077274,15.11675795333513,17.19851903286978,19.42438337983031,16.771992586405222,16.956772524045107
2021-02-15,2021-02-16 08:00,14.922893727916325,18.83313928500053,21.2947790306612,23.175447967062837,22.257715039004584,19.521960446132717,14.187637561863081,21.49504582318184,15.648878453884654,16.49280409485123,26.079269586993146,17.19548438676363,15.813717730308001,18.025024808842062,20.44512432617839,17.930249585399306,17.685225041543365
